last_name, first_name,player_id,year,b_home_run,xba,xslg,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,
Bradley Jr., Jackie,598265,2021,6,.206,.305,.270,.283,.099,90.2,10.7,25.9,5.6,
Candelario, Jeimer,600869,2021,7,.265,.411,.337,.351,.146,89.3,13.1,39,7.6,
Ahmed, Nick,605113,2021,2,.200,.271,.245,.267,.071,87.6,10.3,27.4,1.4,
Bell, Josh,605137,2021,15,.269,.471,.345,.327,.202,92.9,6.5,28.4,9.3,
Betts, Mookie,605141,2021,14,.261,.429,.355,.371,.168,90.5,18.8,35.7,7,
Tapia, Raimel,606132,2021,5,.252,.322,.285,.310,.070,86.6,-3.2,20.9,2,
Hernandez, Teoscar,606192,2021,15,.281,.509,.359,.329,.228,91.6,10.7,37.6,13.6,
Turner, Trea,607208,2021,18,.293,.473,.358,.345,.180,89.5,11,35.8,7.5,
Ramirez, Jose,608070,2021,20,.280,.500,.372,.370,.220,90.9,18,32.8,10.7,
Gallo, Joey,608336,2021,24,.220,.483,.374,.378,.263,91.7,20.5,31.3,18.1,
Winker, Jesse,608385,2021,20,.295,.516,.384,.374,.221,91.1,10.6,39,11,
Swanson, Dansby,621020,2021,17,.247,.456,.328,.305,.209,90.5,13.9,37.2,12.3,
Newman, Kevin,621028,2021,3,.249,.316,.269,.286,.067,85.7,7.2,31.2,1,
Taylor, Chris,621035,2021,16,.258,.465,.361,.358,.207,89,15,40.8,11.6,
Correa, Carlos,621043,2021,16,.271,.432,.352,.368,.161,90.5,13.4,31.2,9.1,
Wendle, Joey,621563,2021,7,.231,.335,.277,.292,.104,87.7,5.6,31,4.7,
Olson, Matt,621566,2021,27,.271,.550,.396,.368,.279,91.8,17.1,32.2,14.7,
Alonso, Pete,624413,2021,22,.261,.533,.371,.339,.272,91.9,15.2,33.6,15.4,
Frazier, Adam,624428,2021,4,.298,.387,.336,.365,.089,85.7,14.9,39.9,1.2,
Soler, Jorge,624585,2021,11,.228,.452,.338,.321,.224,92.3,17.3,27.8,13.2,
Cronenworth, Jake,630105,2021,13,.274,.443,.347,.349,.169,88.6,13.7,35.9,7.6,
Meadows, Austin,640457,2021,18,.233,.420,.328,.327,.187,89.6,21.3,37.8,9.9,
Anderson, Tim,641313,2021,9,.263,.407,.309,.300,.144,89.5,4.3,29.8,6.8,
Crawford, J.P.,641487,2021,5,.252,.335,.293,.315,.083,85.8,8.5,35.1,3,
Dozier, Hunter,641531,2021,8,.217,.364,.290,.290,.147,90.3,17.2,32.1,8.3,
Hampson, Garrett,641658,2021,6,.223,.360,.280,.275,.137,86.2,13.6,34.6,5.6,
Mancini III, Trey,641820,2021,18,.279,.497,.367,.349,.218,88.8,10.4,35.9,13,
McMahon, Ryan,641857,2021,16,.256,.456,.335,.323,.201,91.6,15.6,41.5,8.1,
Smith, Dominic,642086,2021,11,.269,.429,.338,.339,.160,89,14.5,41.5,6.8,
Rosario, Amed,642708,2021,5,.264,.356,.299,.309,.093,87.8,5.7,32.8,2.3,
Adames, Willy,642715,2021,16,.233,.427,.326,.317,.193,89.2,16.3,34.8,12.1,
Kiner-Falefa, Isiah,643396,2021,6,.257,.342,.282,.292,.085,85.9,3.2,29.4,2.1,
Albies, Ozzie,645277,2021,15,.260,.464,.337,.318,.204,89.5,22.1,39.3,10.2,
Devers, Rafael,646240,2021,26,.282,.569,.395,.359,.287,92.7,11.4,35.1,17.2,
Urias, Luis,649966,2021,13,.231,.405,.322,.328,.174,87.6,13.4,33.6,8.5,
Torres, Gleyber,650402,2021,6,.249,.392,.323,.334,.143,86.6,13.4,37.3,6.6,
Diaz, Yandy,650490,2021,6,.244,.357,.327,.363,.114,89.2,5.3,27.8,5.4,
Chapman, Matt,656305,2021,12,.208,.373,.302,.305,.165,89.6,18,32.6,10.6,
Hoskins, Rhys,656555,2021,21,.238,.516,.360,.327,.278,90.8,21.1,35.2,15.2,
Mullins II, Cedric,656775,2021,16,.278,.437,.345,.347,.158,89.5,14.1,38,6.7,
Smith, Pavin,656976,2021,9,.272,.437,.338,.335,.166,86.7,8.1,35,6.2,
Verdugo, Alex,657077,2021,9,.284,.442,.346,.351,.158,90.1,7.1,35,5.7,
Laureano, Ramon,657656,2021,14,.241,.457,.335,.313,.217,88.7,12.4,35.6,11.1,
Moncada, Yoan,660162,2021,8,.269,.431,.365,.389,.162,90.4,11.1,40.3,9.7,
Ohtani, Shohei,660271,2021,35,.282,.674,.433,.369,.391,93.8,18.3,38.4,26,
Acuna Jr., Ronald,660670,2021,24,.291,.593,.427,.405,.303,93.8,18.2,39.6,20.3,
Riley, Austin,663586,2021,17,.270,.489,.364,.356,.219,89.7,12.3,34.5,12,
Mountcastle, Ryan,663624,2021,16,.238,.424,.313,.291,.186,88.6,14.8,39.2,9.7,
Tucker, Kyle,663656,2021,18,.312,.581,.402,.367,.268,91.8,17.5,40.8,11.8,
