,player_id,name,HR,year,b_home_run
0,408234,Cabrera Miguel,12.274219338262501,2021,7
1,443558,Cruz Jr. Nelson,30.05747986391293,2021,21
2,444482,Peralta David,12.866851233050433,2021,4
3,453568,Blackmon Charlie,11.026574551665075,2021,6
4,457705,McCutchen Andrew,25.2974941176657,2021,17
5,457759,Turner Justin,22.993373557659403,2021,18
6,462101,Andrus Elvis,6.884409098859056,2021,2
7,467793,Santana Carlos,17.957126694476116,2021,17
8,476704,Lowrie Jed,19.664345398720048,2021,11
9,488726,Brantley Jr. Michael,13.788283608474565,2021,6
10,493329,Gurriel Yuli,17.5042519577215,2021,10
11,500743,Rojas Miguel,12.72131732638042,2021,5
12,500871,Escobar Eduardo,31.003063155189352,2021,22
13,502054,Pham Tommy,16.91572666028927,2021,11
14,502110,Martinez J.D.,29.925881034756554,2021,20
15,502671,Goldschmidt Paul,27.046262519282493,2021,17
16,514888,Altuve Jose,24.64405961807288,2021,23
17,514917,Hernandez Cesar,20.08483839420703,2021,17
18,516770,Castro Starlin,8.652779736307064,2021,3
19,518626,Donaldson Josh,30.171021483513606,2021,15
20,518692,Freeman Freddie,33.1439233225999,2021,23
21,518934,LeMahieu DJ,9.295178855140446,2021,7
22,519203,Rizzo Anthony,21.47540329643117,2021,12
23,519317,Stanton Giancarlo,24.38342295754902,2021,16
24,521692,Perez Salvador,31.04601211137423,2021,23
25,541645,Garcia Avisail,25.302775592658357,2021,17
26,542583,Aguilar Jesus,23.666150931692542,2021,17
27,543063,Crawford Brandon,30.279249418645374,2021,18
28,543257,Grossman Robbie,17.950658309302888,2021,15
29,543281,Harrison Josh,11.046327269429243,2021,5
30,543333,Hosmer Eric,11.892113020964038,2021,8
31,543760,Semien Marcus,36.64209645420164,2021,24
32,543877,Vazquez Christian,9.22299603736881,2021,4
33,545341,Grichuk Randal,26.15806288448267,2021,18
34,547180,Harper Bryce,30.18577195370624,2021,15
35,547989,Abreu Jose,27.068638174929006,2021,18
36,553993,Suarez Eugenio,22.239114678171735,2021,18
37,570482,Urshela Gio,16.83361591685223,2021,11
38,570731,Schoop Jonathan,24.78723456165942,2021,17
39,571448,Arenado Nolan,25.581231272950227,2021,20
40,571745,Haniger Mitch,33.72520443101028,2021,25
41,571771,Hernandez Enrique,21.060388762397217,2021,14
42,571970,Muncy Max,37.47721088749904,2021,22
43,571976,Myers Wil,18.753881442979036,2021,12
44,571980,Naquin Tyler,20.52444532303285,2021,13
45,572122,Seager Kyle,25.28622769570448,2021,18
46,572191,Taylor Michael A.,12.194867905705294,2021,8
47,573262,Yastrzemski Mike,26.354597330976453,2021,16
48,575929,Contreras Willson,20.376345764906958,2021,15
49,578428,Iglesias Jose,11.167782687698939,2021,7
50,592178,Bryant Kris,24.45238344898334,2021,17
51,592192,Canha Mark,20.132721265309787,2021,11
52,592206,Castellanos Nick,26.65367145807663,2021,18
53,592450,Judge Aaron,31.871546737761406,2021,21
54,592518,Machado Manny,25.4634925566971,2021,17
55,592626,Pederson Joc,23.321576259874504,2021,13
56,592669,Renfroe Hunter,25.089720944464034,2021,15
57,593160,Merrifield Whit,13.649741662369154,2021,8
58,593428,Bogaerts Xander,24.3898324993687,2021,15
59,593871,Polanco Jorge,19.746441489785973,2021,14
60,594807,Duvall Adam,28.457612489610053,2021,22
61,595879,Baez Javier,27.00783347345859,2021,22
62,596019,Lindor Francisco,17.026709130477094,2021,11
63,596115,Story Trevor,21.740034926475076,2021,12
64,596748,Franco Maikel,15.342982420680968,2021,10
65,598265,Bradley Jr. Jackie,9.980096701041887,2021,6
66,600869,Candelario Jeimer,12.914334149757028,2021,7
67,605141,Betts Mookie,25.889415059311546,2021,14
68,606132,Tapia Raimel,6.847595819094889,2021,5
69,606192,Hernandez Teoscar,19.11458785735435,2021,15
70,607208,Turner Trea,24.190960552698538,2021,18
71,608070,Ramirez Jose,30.15398417118016,2021,20
72,608336,Gallo Joey,36.53811776759963,2021,24
73,608385,Winker Jesse,29.43906025662419,2021,20
74,621020,Swanson Dansby,28.890899109699856,2021,17
75,621028,Newman Kevin,4.641842113633071,2021,3
76,621035,Taylor Chris,19.437716558810543,2021,16
77,621043,Correa Carlos,23.93484725681357,2021,16
